admin_unit_code,sector,indicator_key,indicator_label,coverage_pct,deficit_pct,source,year
IN-AR-lower-dibang-valley,education,pct_females_never_attended_school,Females age 6+ who never attended school,76.8,23.2,NFHS-5,2021
IN-AR-lower-dibang-valley,health,pct_births_non_institutional,Births not delivered in a health facility,90.1,9.9,NFHS-5,2021
IN-AR-lower-dibang-valley,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,89.9,10.1,NFHS-5,2021
IN-AR-lower-dibang-valley,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.5,0.5,NFHS-5,2021
IN-AR-lower-dibang-valley,electricity,pct_households_no_electricity,Households without an electricity connection,84.4,15.6,NFHS-5,2021
IN-AR-lower-subansiri,health,pct_births_non_institutional,Births not delivered in a health facility,89.8,10.2,NFHS-5,2021
IN-AR-lower-subansiri,education,pct_females_never_attended_school,Females age 6+ who never attended school,73.1,26.9,NFHS-5,2021
IN-AR-lower-subansiri,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,82.8,17.2,NFHS-5,2021
IN-AR-lower-subansiri,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,98.1,1.9,NFHS-5,2021
IN-AR-lower-subansiri,electricity,pct_households_no_electricity,Households without an electricity connection,97.8,2.2,NFHS-5,2021
IN-AR-papum-pare,health,pct_births_non_institutional,Births not delivered in a health facility,88.0,12.0,NFHS-5,2021
IN-AR-papum-pare,education,pct_females_never_attended_school,Females age 6+ who never attended school,77.6,22.4,NFHS-5,2021
IN-AR-papum-pare,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,75.7,24.3,NFHS-5,2021
IN-AR-papum-pare,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,92.9,7.1,NFHS-5,2021
IN-AR-papum-pare,electricity,pct_households_no_electricity,Households without an electricity connection,98.7,1.3,NFHS-5,2021
IN-AR-tawang,health,pct_births_non_institutional,Births not delivered in a health facility,84.2,15.8,NFHS-5,2021
IN-AR-tawang,education,pct_females_never_attended_school,Females age 6+ who never attended school,59.3,40.7,NFHS-5,2021
IN-AR-tawang,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,81.7,18.3,NFHS-5,2021
IN-AR-tawang,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.8,0.2,NFHS-5,2021
IN-AR-tawang,electricity,pct_households_no_electricity,Households without an electricity connection,99.7,0.3,NFHS-5,2021
IN-AR-tirap,health,pct_births_non_institutional,Births not delivered in a health facility,70.2,29.8,NFHS-5,2021
IN-AR-tirap,education,pct_females_never_attended_school,Females age 6+ who never attended school,69.0,31.0,NFHS-5,2021
IN-AR-tirap,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,86.7,13.3,NFHS-5,2021
IN-AR-tirap,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,93.8,6.2,NFHS-5,2021
IN-AR-tirap,electricity,pct_households_no_electricity,Households without an electricity connection,98.8,1.2,NFHS-5,2021
IN-AR-upper-siang,health,pct_births_non_institutional,Births not delivered in a health facility,76.0,24.0,NFHS-5,2021
IN-AR-upper-siang,education,pct_females_never_attended_school,Females age 6+ who never attended school,69.5,30.5,NFHS-5,2021
IN-AR-upper-siang,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,91.8,8.2,NFHS-5,2021
IN-AR-upper-siang,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,99.8,0.2,NFHS-5,2021
IN-AR-upper-siang,electricity,pct_households_no_electricity,Households without an electricity connection,99.5,0.5,NFHS-5,2021
IN-AR-upper-subansiri,health,pct_births_non_institutional,Births not delivered in a health facility,77.0,23.0,NFHS-5,2021
